data,pais,variavel,valor,atualizacao
1960-01-01,Belgium,"Inflação (Anual, %)",0.299467254769695,2023-12-24T13:31:52Z
1961-01-01,Belgium,"Inflação (Anual, %)",0.992676260767339,2023-12-24T13:31:52Z
1962-01-01,Belgium,"Inflação (Anual, %)",1.40460703543514,2023-12-24T13:31:52Z
1963-01-01,Belgium,"Inflação (Anual, %)",2.14800341332202,2023-12-24T13:31:52Z
1964-01-01,Belgium,"Inflação (Anual, %)",4.1687605856436996,2023-12-24T13:31:52Z
1965-01-01,Belgium,"Inflação (Anual, %)",4.06520137474643,2023-12-24T13:31:52Z
1966-01-01,Belgium,"Inflação (Anual, %)",4.17434761852995,2023-12-24T13:31:52Z
1967-01-01,Belgium,"Inflação (Anual, %)",2.73030268590907,2023-12-24T13:31:52Z
1968-01-01,Belgium,"Inflação (Anual, %)",2.70144982931349,2023-12-24T13:31:52Z
1969-01-01,Belgium,"Inflação (Anual, %)",3.75399229053284,2023-12-24T13:31:52Z
1970-01-01,Belgium,"Inflação (Anual, %)",3.9084723847191,2023-12-24T13:31:52Z
1971-01-01,Belgium,"Inflação (Anual, %)",4.34362854612092,2023-12-24T13:31:52Z
1972-01-01,Belgium,"Inflação (Anual, %)",5.44843128438085,2023-12-24T13:31:52Z
1973-01-01,Belgium,"Inflação (Anual, %)",6.95528008719914,2023-12-24T13:31:52Z
1974-01-01,Belgium,"Inflação (Anual, %)",12.6778877513452,2023-12-24T13:31:52Z
1975-01-01,Belgium,"Inflação (Anual, %)",12.7681985920515,2023-12-24T13:31:52Z
1976-01-01,Belgium,"Inflação (Anual, %)",9.06860981054968,2023-12-24T13:31:52Z
1977-01-01,Belgium,"Inflação (Anual, %)",7.09600059132598,2023-12-24T13:31:52Z
1978-01-01,Belgium,"Inflação (Anual, %)",4.47059331592944,2023-12-24T13:31:52Z
1979-01-01,Belgium,"Inflação (Anual, %)",4.46908394900479,2023-12-24T13:31:52Z
1980-01-01,Belgium,"Inflação (Anual, %)",6.64868829655356,2023-12-24T13:31:52Z
1981-01-01,Belgium,"Inflação (Anual, %)",7.62748656814276,2023-12-24T13:31:52Z
1982-01-01,Belgium,"Inflação (Anual, %)",8.72654906555469,2023-12-24T13:31:52Z
1983-01-01,Belgium,"Inflação (Anual, %)",7.66160983743883,2023-12-24T13:31:52Z
1984-01-01,Belgium,"Inflação (Anual, %)",6.34177491009126,2023-12-24T13:31:52Z
1985-01-01,Belgium,"Inflação (Anual, %)",4.86873399496944,2023-12-24T13:31:52Z
1986-01-01,Belgium,"Inflação (Anual, %)",1.2943681910248,2023-12-24T13:31:52Z
1987-01-01,Belgium,"Inflação (Anual, %)",1.55338261314948,2023-12-24T13:31:52Z
